epoch,dice_coef,iou,loss,lr,mean_io_u,precision,recall,val_dice_coef,val_iou,val_loss,val_mean_io_u,val_precision,val_recall
0,0.40045279264450073,0.2770620286464691,0.8300062417984009,1e-04,0.5787791013717651,0.12462745606899261,0.6982120871543884,0.23073849081993103,0.13308294117450714,1.0321913957595825,0.6153443455696106,0.5148652195930481,0.749854564666748
1,0.7632529735565186,0.618549644947052,0.3758285343647003,1e-04,0.6301487684249878,0.8324097990989685,0.8005582690238953,0.7654238343238831,0.6280341744422913,0.3757067024707794,0.721145510673523,0.8059069514274597,0.8533926606178284
2,0.8222058415412903,0.698544442653656,0.3085770010948181,1e-04,0.6664144396781921,0.8610599637031555,0.8304296731948853,0.7904336452484131,0.6580178141593933,0.38983991742134094,0.7419817447662354,0.7288137078285217,0.8900251388549805
3,0.8468475937843323,0.7346583604812622,0.27699336409568787,1e-04,0.6849634051322937,0.872929036617279,0.8500553369522095,0.8263641595840454,0.7070015072822571,0.31610146164894104,0.7427759170532227,0.8130733370780945,0.8787068724632263
4,0.8616411685943604,0.7571244239807129,0.25585588812828064,1e-04,0.7000969648361206,0.880929708480835,0.8639661073684692,0.8302350640296936,0.7126714587211609,0.31468117237091064,0.7506855726242065,0.7878229022026062,0.8913909196853638
5,0.8725816607475281,0.7741430997848511,0.23909613490104675,1e-04,0.7142583131790161,0.887274980545044,0.8752261400222778,0.8548990488052368,0.7486717104911804,0.2580692172050476,0.7792443037033081,0.8556426167488098,0.8990232944488525
6,0.8806248903274536,0.7868680953979492,0.22578223049640656,1e-04,0.7262653708457947,0.8921787738800049,0.883577823638916,0.8605097532272339,0.7570359110832214,0.249494269490242,0.7753024101257324,0.8668015599250793,0.8924205899238586
7,0.8864780068397522,0.7962445020675659,0.2151116579771042,1e-04,0.7362709641456604,0.8955308198928833,0.8900572657585144,0.8628436923027039,0.7605438232421875,0.24218836426734924,0.7676633596420288,0.8803266286849976,0.8804991841316223
8,0.8911676406860352,0.8038288354873657,0.20609484612941742,1e-04,0.7456207275390625,0.8987991213798523,0.8949295282363892,0.8654346466064453,0.7644975781440735,0.2354816496372223,0.7755233645439148,0.8832736015319824,0.880305290222168
9,0.8954436779022217,0.8108049035072327,0.19784632325172424,1e-04,0.7543562650680542,0.9018721580505371,0.8995409607887268,0.8691595196723938,0.7703139781951904,0.22755853831768036,0.7938411235809326,0.8771317601203918,0.8947837948799133
10,0.898845374584198,0.8163898587226868,0.1907544732093811,1e-04,0.7602130770683289,0.9043838381767273,0.9031268358230591,0.8724912405014038,0.7755230069160461,0.2187584489583969,0.7863601446151733,0.8973775506019592,0.8820071220397949
11,0.9014320969581604,0.8206595778465271,0.18485717475414276,1e-04,0.7669832110404968,0.9063478708267212,0.9057043194770813,0.8718097805976868,0.7743105292320251,0.2163032591342926,0.7747607231140137,0.9089570045471191,0.8680348992347717
12,0.903119683265686,0.8234597444534302,0.18017899990081787,1e-04,0.7698056697845459,0.9072958827018738,0.9076487421989441,0.8709457516670227,0.7729069590568542,0.21507050096988678,0.7852499485015869,0.8985078930854797,0.8762661218643188
13,0.9043757319450378,0.8255438208580017,0.17623794078826904,1e-04,0.7725187540054321,0.9081239700317383,0.9089604616165161,0.8715271949768066,0.7738021016120911,0.2119433432817459,0.7837206721305847,0.9001836776733398,0.876242458820343
14,0.9063056707382202,0.8287598490715027,0.17172370851039886,1e-04,0.7756149768829346,0.9100640416145325,0.9106913208961487,0.8750557899475098,0.779369056224823,0.20528624951839447,0.7926530241966248,0.8985952734947205,0.8820695877075195
15,0.9093102216720581,0.8337949514389038,0.16623131930828094,1e-04,0.7788698673248291,0.9126421809196472,0.9139552712440491,0.8744832277297974,0.7784708142280579,0.20351414382457733,0.7954128980636597,0.8886514902114868,0.891425371170044
16,0.9118748903274536,0.8381122350692749,0.16133829951286316,1e-04,0.7825313806533813,0.9147034883499146,0.9168429374694824,0.8780309557914734,0.7840811014175415,0.19754403829574585,0.8119850158691406,0.8802811503410339,0.907284677028656
17,0.9138904213905334,0.8415214419364929,0.15717877447605133,1e-04,0.7869275808334351,0.916604220867157,0.9188326597213745,0.87857586145401,0.7849811911582947,0.19480769336223602,0.8143583536148071,0.8824993968009949,0.9062916040420532
18,0.9148910045623779,0.843216598033905,0.15422439575195312,1e-04,0.7899084091186523,0.9170695543289185,0.9200214147567749,0.8799786567687988,0.7871477007865906,0.1914922147989273,0.8032370805740356,0.9047706723213196,0.886431872844696
19,0.9159901142120361,0.8450819253921509,0.1513136625289917,1e-04,0.7924925684928894,0.9181089997291565,0.9211574792861938,0.8802602887153625,0.7875001430511475,0.18978045880794525,0.8123435974121094,0.8919466137886047,0.8984545469284058
20,0.9164239764213562,0.8458235859870911,0.14924316108226776,1e-04,0.7942776083946228,0.9180276989936829,0.9220227003097534,0.8788512349128723,0.7853204011917114,0.18996773660182953,0.8147156238555908,0.8888888955116272,0.9002382755279541
21,0.9166246056556702,0.8461726307868958,0.1475266069173813,1e-04,0.7943885326385498,0.9180665612220764,0.9222064018249512,0.8783551454544067,0.7845399379730225,0.18907086551189423,0.8027788400650024,0.8968623280525208,0.8900789618492126
22,0.9174365401268005,0.8475481271743774,0.14524957537651062,1e-04,0.7943388819694519,0.919062614440918,0.9227315187454224,0.8809255361557007,0.788548469543457,0.1845524162054062,0.8025442957878113,0.8982979655265808,0.8932995200157166
23,0.9187154173851013,0.8497327566146851,0.14254063367843628,1e-04,0.794901967048645,0.9204140305519104,0.9239862561225891,0.8811097145080566,0.7888004183769226,0.1828843504190445,0.8102319240570068,0.8887306451797485,0.9032541513442993
