epoch,dice_coef,iou,loss,lr,mean_io_u,precision,recall,val_dice_coef,val_iou,val_loss,val_mean_io_u,val_precision,val_recall
0,0.664609194,0.523005724,0.229867205,1.00E-04,0.610776424,0.578942835,0.910958767,0.149245515,0.081187315,0.871300459,0.441024244,0,0
1,0.835046828,0.721130848,0.148819104,1.00E-04,0.732170582,0.812673211,0.933448553,0.767046869,0.628990471,0.185582429,0.442685336,0.915029943,0.818456054
2,0.869708538,0.771845341,0.136273086,1.00E-04,0.743005037,0.845191658,0.9445889,0.866546452,0.765833437,0.134942219,0.744145036,0.858204663,0.939340532
3,0.889237344,0.801873207,0.126405537,1.00E-04,0.740293622,0.862764776,0.954627633,0.884789705,0.794222772,0.124089591,0.800680518,0.861081719,0.951739728
4,0.900741339,0.820362031,0.117718972,1.00E-04,0.742375135,0.873768687,0.959842265,0.896731317,0.813446045,0.115806833,0.787235498,0.882923543,0.945502698
5,0.910496891,0.836371064,0.109181792,1.00E-04,0.740845323,0.884080946,0.963855803,0.899581671,0.818205833,0.108092226,0.782682419,0.884007514,0.94561857
6,0.918313086,0.849505663,0.100928351,1.00E-04,0.747740269,0.892778754,0.967640638,0.902225673,0.822392702,0.100022271,0.800836921,0.880766213,0.951188982
7,0.924161673,0.859440804,0.093034677,1.00E-04,0.753559589,0.89925611,0.970037758,0.903869808,0.825029552,0.092765197,0.804510236,0.883598983,0.95114255
8,0.928846478,0.867509723,0.085519865,1.00E-04,0.759085536,0.904379904,0.972288966,0.905059218,0.827289641,0.085003674,0.826286137,0.880940974,0.957057536
9,0.933605075,0.875756502,0.078319803,1.00E-04,0.762706757,0.909899473,0.974106193,0.911878169,0.838362098,0.078162104,0.803901732,0.897440851,0.949035764
10,0.936498404,0.880835533,0.071642004,1.00E-04,0.767012358,0.913221776,0.975197911,0.912285209,0.83908844,0.071531549,0.8221668,0.892898977,0.953858495
11,0.905661702,0.830058038,0.070178263,1.00E-04,0.75716424,0.88039571,0.952643692,0.890559614,0.803460538,0.06801822,0.862154484,0.823955894,0.972338617
12,0.917093873,0.847823381,0.063853569,1.00E-04,0.756207466,0.890787065,0.960885406,0.912704885,0.839864373,0.062262923,0.815729976,0.878183126,0.959973454
13,0.93115133,0.871580064,0.058046967,1.00E-04,0.765065312,0.904970884,0.971201956,0.915547967,0.844559431,0.057750788,0.834371328,0.881206632,0.963249922
14,0.937961876,0.88342762,0.05337536,1.00E-04,0.771045983,0.913155913,0.974639356,0.918830335,0.850163043,0.053574353,0.828904867,0.891297758,0.961920857
15,0.924787223,0.861223161,0.051209409,1.00E-04,0.765620351,0.900241911,0.96356982,0.90915674,0.834421158,0.051419206,0.82586205,0.874513328,0.955055475
16,0.926603615,0.863897741,0.047686562,1.00E-04,0.766090751,0.899654508,0.966921985,0.919117987,0.850679159,0.04738801,0.816423297,0.896853209,0.954488754
17,0.937428117,0.882503271,0.043639209,1.00E-04,0.771461606,0.911517859,0.97403878,0.922297537,0.856077135,0.04415217,0.826636434,0.898222268,0.9567222
18,0.942793846,0.891958594,0.040289421,1.00E-04,0.779543221,0.91836375,0.976483643,0.922199965,0.855935693,0.04110932,0.829398632,0.893285334,0.961693525
19,0.945942044,0.89757961,0.037205335,1.00E-04,0.785237551,0.922160804,0.978277981,0.92440623,0.859661877,0.038510099,0.825119376,0.905400634,0.952141881
20,0.948101997,0.901464343,0.034313258,1.00E-04,0.787103295,0.925090313,0.979155958,0.925553679,0.861666083,0.03554666,0.811425984,0.904319584,0.955849349
21,0.949924886,0.90475446,0.03156773,1.00E-04,0.789087772,0.927540302,0.980048597,0.92527765,0.861170173,0.033236802,0.818511248,0.90697962,0.950676143
22,0.950896621,0.906516016,0.029017616,1.00E-04,0.787571311,0.928861558,0.980336428,0.923391759,0.857955873,0.03054234,0.831003368,0.893340468,0.961400151
23,0.950412154,0.905657709,0.026740886,1.00E-04,0.785745025,0.928266585,0.979935646,0.921747923,0.855138838,0.028060371,0.840287685,0.885342836,0.968303621
24,0.947662055,0.900747776,0.024821961,1.00E-04,0.781756163,0.924903691,0.977986634,0.913398504,0.861173887,0.026994104,0.861453354,0.870941997,0.963178515
25,0.949516177,0.904035091,0.022829609,1.00E-04,0.785846293,0.92648381,0.979218483,0.926037788,0.862545967,0.024860771,0.802003384,0.909499407,0.949837148
26,0.953489125,0.911220253,0.020795938,1.00E-04,0.790049553,0.931712031,0.98137933,0.927522838,0.875070343,0.023370164,0.799026191,0.920644462,0.942648768
27,0.956017196,0.91583246,0.018964382,1.00E-04,0.791491628,0.935191393,0.982650995,0.928210318,0.876210043,0.021907888,0.787191629,0.926322877,0.939234614
28,0.956513941,0.916747808,0.017368643,1.00E-04,0.792433262,0.935865045,0.982831955,0.924018621,0.87931021,0.019766336,0.839002252,0.896759212,0.958104789
29,0.943642795,0.918229174,0.017138422,1.00E-04,0.795798421,0.919294775,0.974896431,0.890908599,0.88536139,0.023385758,0.884177685,0.860031307,0.933488846
