epoch,dice_coef,iou,loss,lr,mean_io_u,precision,recall,val_dice_coef,val_iou,val_loss,val_mean_io_u,val_precision,val_recall
0,0.7352400422096252,0.6157337427139282,0.3529970943927765,1e-04,0.769550621509552,0.6189883947372437,0.9026885628700256,0.7305964827537537,0.598656952381134,0.39405104517936707,0.6903362274169922,0.9095766544342041,0.8769338726997375
1,0.8796862959861755,0.7884190678596497,0.22011718153953552,1e-04,0.8147443532943726,0.8573831915855408,0.942725419998169,0.820206344127655,0.7065500020980835,0.2947779893875122,0.7890661954879761,0.9113884568214417,0.9147747755050659
2,0.8992993831634521,0.8188762068748474,0.19426554441452026,1e-04,0.8365499973297119,0.8753494620323181,0.9524275660514832,0.8456862568855286,0.7403151988983154,0.26192525029182434,0.8202130794525146,0.9134368896484375,0.9206404685974121
3,0.9073629379272461,0.8320088386535645,0.1786327362060547,1e-04,0.8485798239707947,0.8822564482688904,0.9567186832427979,0.8572081923484802,0.7559667229652405,0.23546485602855682,0.8309072256088257,0.908723771572113,0.9316895604133606
4,0.9163578152656555,0.8465791940689087,0.16334320604801178,1e-04,0.8594602346420288,0.8915579915046692,0.9622201323509216,0.8612263202667236,0.7614529728889465,0.22698570787906647,0.8438260555267334,0.9189106225967407,0.9197603464126587
5,0.9230359792709351,0.8578372597694397,0.15045441687107086,1e-04,0.8710590600967407,0.8987454771995544,0.9663748145103455,0.8725147843360901,0.7778879404067993,0.2133050411939621,0.8491019010543823,0.9272810816764832,0.9203369617462158
6,0.919049084186554,0.8516734838485718,0.14820323884487152,1e-04,0.8742839097976685,0.8958020806312561,0.9604743719100952,0.8771886229515076,0.7851498126983643,0.1979552060365677,0.8478526473045349,0.925202488899231,0.9299612641334534
7,0.9300529956817627,0.8698825836181641,0.1334369033575058,1e-04,0.8854004144668579,0.9068947434425354,0.9701449275016785,0.8750378489494324,0.7815361618995667,0.1836019605398178,0.8661033511161804,0.9144341945648193,0.9328416585922241
8,0.9346504211425781,0.8778570294380188,0.12452806532382965,1e-04,0.8948243260383606,0.9124434590339661,0.9724794626235962,0.8819569945335388,0.792344868183136,0.17385753989219666,0.8748466968536377,0.9166786074638367,0.9436960816383362
9,0.9352115392684937,0.8788625001907349,0.11918452382087708,1e-04,0.8972915410995483,0.9128172397613525,0.9728924632072449,0.8845980167388916,0.7961323261260986,0.17361998558044434,0.8675222396850586,0.9329134225845337,0.9224573373794556
