epoch,dice_coef,iou,loss,lr,mean_io_u,precision,recall,val_dice_coef,val_iou,val_loss,val_mean_io_u,val_precision,val_recall
0,0.766882002,0.664490461,0.946220219,1.00E-04,0.752015173,0.588029265,0.906138241,0.747548997,0.618800759,0.945659578,0.759181499,0.908050716,0.898537993
1,0.918186009,0.850262225,0.763632894,1.00E-04,0.792928338,0.934226274,0.931888342,0.800549448,0.68266803,0.866773605,0.77921772,0.941330314,0.892506778
2,0.932474136,0.874232173,0.723185837,1.00E-04,0.822077513,0.943161845,0.942738891,0.837520719,0.730524004,0.804150045,0.809727192,0.947963655,0.899117708
3,0.939742148,0.886899173,0.690239429,1.00E-04,0.843035877,0.948315144,0.948719323,0.852624238,0.750159383,0.763635278,0.832361817,0.948011398,0.901813567
4,0.944018781,0.894441485,0.660858214,1.00E-04,0.862976432,0.951127291,0.952377081,0.872928381,0.779134989,0.718806624,0.861871123,0.946726978,0.912840843
5,0.947037101,0.89983052,0.633693695,1.00E-04,0.875161648,0.953317225,0.955130816,0.878095686,0.786297143,0.689981937,0.868552983,0.955879092,0.901311278
6,0.949747443,0.904696167,0.607809484,1.00E-04,0.88692981,0.955657423,0.957476616,0.880494714,0.789991498,0.664788485,0.883734107,0.946735382,0.913578272
7,0.95069617,0.906415343,0.584543705,1.00E-04,0.892924786,0.956392348,0.958232045,0.892778933,0.809058189,0.630827248,0.904588819,0.934120953,0.935367167
8,0.952170491,0.909071803,0.561849415,1.00E-04,0.896200538,0.957495034,0.959483087,0.894576907,0.811891794,0.608186722,0.911349952,0.926572382,0.94331938
9,0.953879118,0.912164986,0.539517879,1.00E-04,0.902736425,0.959065497,0.960938394,0.895578086,0.813586056,0.586774707,0.906659961,0.940086484,0.932646394
10,0.955081224,0.914340079,0.517913997,1.00E-04,0.904819489,0.960041761,0.961888909,0.891750693,0.80759114,0.570355058,0.903520107,0.94816196,0.922241449
11,0.955022097,0.914230585,0.498085886,1.00E-04,0.903439701,0.959863544,0.961666882,0.883586645,0.794724286,0.55911535,0.89359045,0.957552016,0.905816853
12,0.955779672,0.915623009,0.478275627,1.00E-04,0.902125776,0.960571587,0.962512016,0.895284474,0.812809587,0.528678596,0.902503848,0.952668428,0.916193902
13,0.957081854,0.917989969,0.458424777,1.00E-04,0.90409565,0.961629629,0.963693261,0.897641182,0.816642344,0.507896841,0.9019081,0.950603843,0.920426488
14,0.958530724,0.920641005,0.43851459,1.00E-04,0.909655929,0.96286267,0.965040028,0.896990418,0.815413296,0.49016881,0.902258217,0.953266501,0.915977061
15,0.958890319,0.921295106,0.419823557,1.00E-04,0.907564878,0.963191867,0.965243518,0.900588214,0.821262658,0.468374193,0.908270717,0.9476372,0.924031317
16,0.95885551,0.92123127,0.402034402,1.00E-04,0.906577885,0.963190734,0.965119362,0.900256991,0.820757568,0.451303512,0.908405423,0.93523401,0.939254165
17,0.958432376,0.920455873,0.385344684,1.00E-04,0.903375387,0.96279645,0.964556992,0.899014413,0.818534493,0.43583104,0.869056106,0.957142711,0.912950873
18,0.958741546,0.921021283,0.368702739,1.00E-04,0.904131651,0.963069916,0.965013146,0.901829362,0.823123693,0.41690889,0.903922796,0.951485693,0.920836866
19,0.959539413,0.922487497,0.35203281,1.00E-04,0.904529333,0.963937283,0.965542078,0.900441289,0.821010947,0.402591288,0.904180527,0.955112219,0.917486548
20,0.960678697,0.924578547,0.335405141,1.00E-04,0.907967687,0.964815736,0.966699839,0.901953518,0.823463023,0.385737747,0.908816934,0.949889839,0.923136353
21,0.961692393,0.926450253,0.319096714,1.00E-04,0.910405874,0.965683699,0.967740238,0.904130995,0.826981187,0.368330181,0.909841537,0.951096952,0.923518538
22,0.962129116,0.927254021,0.303575754,1.00E-04,0.911732793,0.9660393,0.968031704,0.903054893,0.825154245,0.354462445,0.911938429,0.949944794,0.925658584
23,0.961961627,0.926941454,0.289251596,1.00E-04,0.914826334,0.965761244,0.967926204,0.900581121,0.821493804,0.342869371,0.921972036,0.944444239,0.932844937
24,0.962192476,0.92737627,0.275158525,1.00E-04,0.914402485,0.96610117,0.968051195,0.903626144,0.826004326,0.326205283,0.907068431,0.95348984,0.920283437
25,0.962500572,0.927944541,0.261453837,1.00E-04,0.914566636,0.966382921,0.968388379,0.904321373,0.82722187,0.312339306,0.907664418,0.952225626,0.922867119
26,0.962445736,0.927844822,0.24860619,1.00E-04,0.916977763,0.966371,0.968373001,0.898027182,0.817035556,0.306096494,0.906448483,0.952002287,0.92005235
27,0.961648345,0.92636162,0.237116918,1.00E-04,0.913747787,0.965546072,0.967391431,0.906799436,0.831266105,0.285409778,0.91293329,0.934753835,0.942109883
28,0.961547434,0.926175833,0.225600302,1.00E-04,0.912055612,0.965645373,0.967070282,0.907484055,0.832363427,0.273429066,0.916167021,0.940756261,0.93796134
29,0.961973131,0.926963151,0.214092627,1.00E-04,0.911899447,0.966083527,0.96753782,0.905746698,0.829626858,0.264252961,0.916987896,0.942761004,0.935030162
30,0.963320017,0.929456949,0.202134162,1.00E-04,0.919827461,0.967211187,0.968978345,0.903813899,0.826573431,0.255799353,0.922580361,0.945219338,0.93320334
31,0.964374125,0.931409001,0.19072482,1.00E-04,0.920795918,0.968048513,0.970075369,0.904710889,0.827803314,0.244629964,0.899784684,0.954342902,0.922236383
32,0.964743376,0.932091534,0.180271715,1.00E-04,0.922863007,0.968353927,0.970400989,0.908049703,0.833336592,0.231435016,0.919562578,0.944873869,0.934664369
33,0.964356005,0.931378007,0.170996353,1.00E-04,0.924945116,0.967977703,0.970158279,0.907700002,0.832705796,0.222465739,0.923793137,0.943265676,0.934734464
34,0.964401186,0.931464016,0.161842227,1.00E-04,0.925926208,0.968140244,0.970015585,0.906742811,0.831144214,0.214505851,0.920210898,0.945620477,0.932053626
35,0.964382708,0.931423426,0.153324217,1.00E-04,0.923814774,0.968004167,0.970013976,0.908245623,0.833636224,0.204604462,0.896286845,0.938844264,0.941235602
36,0.964782536,0.932161212,0.144907206,1.00E-04,0.925619841,0.968431234,0.97022891,0.907668889,0.832683206,0.197502971,0.918390751,0.941478372,0.936758697
37,0.965337038,0.933192492,0.136765167,1.00E-04,0.922975898,0.968823671,0.970876753,0.907633543,0.832588494,0.190057486,0.904205441,0.943560898,0.936184764
38,0.965109587,0.93276906,0.12982145,1.00E-04,0.926448584,0.968613327,0.9706496,0.906655252,0.830992162,0.184227929,0.897093177,0.940322876,0.934901655
39,0.964827001,0.932240248,0.123712726,1.00E-04,0.928588986,0.96835947,0.970407307,0.908902347,0.834707916,0.17578575,0.917743087,0.941775382,0.937300265
40,0.965512455,0.933521092,0.117018618,1.00E-04,0.930147111,0.969048798,0.970989943,0.907998383,0.833152235,0.171019807,0.919601202,0.939142525,0.937813044
41,0.965599179,0.933677077,0.111243978,1.00E-04,0.928581476,0.969111621,0.970929205,0.909176946,0.835168183,0.164282918,0.91088903,0.945254982,0.934683084
42,0.965443373,0.933382869,0.106076822,1.00E-04,0.930151701,0.968864441,0.970708549,0.909796536,0.836118519,0.158473432,0.923439085,0.93934685,0.94126749
43,0.965023816,0.932611048,0.101603396,1.00E-04,0.930424333,0.968467951,0.970529199,0.906562448,0.831040263,0.157012194,0.92880857,0.942839622,0.938587427
44,0.965431094,0.933368504,0.096691936,1.00E-04,0.931164145,0.968882501,0.970961511,0.9077667,0.832901239,0.151421428,0.918690741,0.942171037,0.937956095
45,0.965902507,0.934240341,0.092060246,1.00E-04,0.929136515,0.969323695,0.971191883,0.907248437,0.832007289,0.148108095,0.922675252,0.946445465,0.931552291
46,0.966113508,0.934632778,0.088007241,1.00E-04,0.928206205,0.969466209,0.971463084,0.904423833,0.827263892,0.147177055,0.908431768,0.955488145,0.919121623
47,0.966135025,0.934674621,0.084474161,1.00E-04,0.929335773,0.969465911,0.971565485,0.903752625,0.826041162,0.144583121,0.912467539,0.958472013,0.913510144
48,0.965824485,0.934097826,0.081607416,1.00E-04,0.934901059,0.969316959,0.971157193,0.909901738,0.836299241,0.135273308,0.91536516,0.946006298,0.933609068
49,0.965767145,0.933984697,0.07882376,1.00E-04,0.930834234,0.969223797,0.971068144,0.910605371,0.837416768,0.132009774,0.916235209,0.944135427,0.93757844
50,0.966045082,0.934503019,0.075979322,1.00E-04,0.92916435,0.969463348,0.971258104,0.910350978,0.837021053,0.129781067,0.900255561,0.944218636,0.937529981
51,0.965623379,0.933725178,0.074097201,1.00E-04,0.928173363,0.969111741,0.970902443,0.910084486,0.836495936,0.127852932,0.928243876,0.934932113,0.94375819
52,0.966106415,0.934616864,0.07156755,1.00E-04,0.927951097,0.969423473,0.971404314,0.910057127,0.836485922,0.125984162,0.910070777,0.94232434,0.937558591
53,0.966695607,0.935715079,0.069081455,1.00E-04,0.926616311,0.969995856,0.971924961,0.910761952,0.837603033,0.123487934,0.912836194,0.949121177,0.931311309
54,0.966875851,0.936050653,0.067167304,1.00E-04,0.929720819,0.970129848,0.972156882,0.909306705,0.835211992,0.123194396,0.924953341,0.946576893,0.931545496
55,0.966987908,0.936260819,0.065453559,1.00E-04,0.933103204,0.970220149,0.972236335,0.910017014,0.836419046,0.121039383,0.912160873,0.945813656,0.934371412
56,0.967036307,0.936346948,0.063979827,1.00E-04,0.930153072,0.970263124,0.97220248,0.909421682,0.835424721,0.120179191,0.923744738,0.947177708,0.930940449
57,0.966994166,0.936272085,0.062740147,1.00E-04,0.931751847,0.970193207,0.972242832,0.907532036,0.832294822,0.120989479,0.907546639,0.957130909,0.921143115
58,0.967527688,0.937269092,0.061031241,1.00E-04,0.933617353,0.970641077,0.97283709,0.909250438,0.835105658,0.118116327,0.920786619,0.952143013,0.926767051
59,0.967168272,0.936600804,0.060320593,1.00E-04,0.932747722,0.970447302,0.972359121,0.909746706,0.835863411,0.116615273,0.921299875,0.951105654,0.925456285
60,0.967174172,0.936609745,0.059393242,1.00E-04,0.937625349,0.970446825,0.972410917,0.906810939,0.831348777,0.118564196,0.920937896,0.948210776,0.93233937
61,0.967454076,0.937133968,0.058238491,1.00E-04,0.940409541,0.970757425,0.972670376,0.910399258,0.837026656,0.114280932,0.902223647,0.946480453,0.932426572
62,0.967179298,0.936619878,0.05772537,1.00E-04,0.936582923,0.970438004,0.972335637,0.910908759,0.837812781,0.11304763,0.895927906,0.955353975,0.922637641
63,0.967203438,0.936659098,0.056996275,1.00E-04,0.938904524,0.970370948,0.972363293,0.90868324,0.834148586,0.114540175,0.904763639,0.952739477,0.922785163
64,0.96726042,0.93676579,0.056286175,1.00E-04,0.937190294,0.970564544,0.972302735,0.910701692,0.837617099,0.111878537,0.925628543,0.942681551,0.938111842
65,0.966944456,0.936172545,0.056025147,1.00E-04,0.943879187,0.970302105,0.971906662,0.91094017,0.838105619,0.111063242,0.927218795,0.934640765,0.947133601
66,0.967241228,0.936729193,0.055187646,1.00E-04,0.944343507,0.970441759,0.972349823,0.911365747,0.8387236,0.110103346,0.924840391,0.939791501,0.942146242
67,0.967653692,0.93750304,0.054234073,1.00E-04,0.942160606,0.970751047,0.972891569,0.909996927,0.836359143,0.110957861,0.919821382,0.941589773,0.936343849
68,0.96811527,0.938364208,0.053234205,1.00E-04,0.942536712,0.971210361,0.97327137,0.910534978,0.837280095,0.109981067,0.929588675,0.93702662,0.943988681
69,0.968312383,0.938735604,0.052515134,1.00E-04,0.942914307,0.971330583,0.973490298,0.909600914,0.835743189,0.110452399,0.925391078,0.937084377,0.942118049
70,0.968096614,0.938328803,0.052245297,1.00E-04,0.94308126,0.971102476,0.973298669,0.910659432,0.837504923,0.108864084,0.925826073,0.938750088,0.941935241
71,0.968218863,0.938557744,0.051674571,1.00E-04,0.940511942,0.971265614,0.973401427,0.909804046,0.8360672,0.109187931,0.922061086,0.953606188,0.926013649
