epoch,dice_coef,iou,loss,lr,mean_io_u,precision,recall,val_dice_coef,val_iou,val_loss,val_mean_io_u,val_precision,val_recall
0,0.516966283,0.371225744,0.222576648,1.00E-04,0.524370313,0.488058209,0.752704978,0.350494444,0.250677347,0.143931761,0.500236332,0.918811321,0.778851569
1,0.73118937,0.584522247,0.128593877,1.00E-04,0.512244701,0.890375972,0.858707011,0.579661667,0.44182989,0.118863776,0.515160084,0.917372882,0.843624592
2,0.787270248,0.655266166,0.112538353,1.00E-04,0.519659519,0.901676774,0.886615694,0.643451154,0.500861526,0.109152824,0.521799505,0.930887163,0.838360012
3,0.816162884,0.694441736,0.101429597,1.00E-04,0.517426789,0.909402907,0.898438513,0.683053792,0.54105866,0.099013306,0.501513541,0.945912123,0.841078043
4,0.838794529,0.726195872,0.091373183,1.00E-04,0.511388242,0.916598976,0.907147527,0.720656633,0.582349718,0.089134008,0.517897546,0.948098361,0.862610757
5,0.860276341,0.757488489,0.08176522,1.00E-04,0.510857582,0.925593972,0.917363226,0.749189317,0.614679992,0.081476383,0.513691187,0.950246274,0.8671332
6,0.871822238,0.77498579,0.07388936,1.00E-04,0.512339294,0.930361211,0.92172116,0.7682634,0.636732697,0.074912675,0.518390834,0.952402532,0.866068363
7,0.882713258,0.791866362,0.06636788,1.00E-04,0.512772083,0.935233772,0.927755237,0.783300221,0.654429138,0.070016854,0.51643759,0.956123412,0.859659314
8,0.889123142,0.802029371,0.059922151,1.00E-04,0.513424873,0.937651217,0.931256056,0.792829812,0.665502965,0.064315088,0.504236579,0.95696187,0.855888247
9,0.890570223,0.804433644,0.055170208,1.00E-04,0.505103469,0.937506676,0.931755722,0.785417378,0.656127274,0.057918899,0.513222337,0.94523263,0.878162622
10,0.897029698,0.814735353,0.050375152,1.00E-04,0.510400653,0.940499902,0.936000884,0.813630998,0.69296968,0.055590108,0.521401167,0.96228683,0.859707773
11,0.904762328,0.82730788,0.045762073,1.00E-04,0.511006773,0.944566369,0.940995753,0.814272225,0.693694532,0.051769551,0.52165091,0.95972079,0.865090907
12,0.897303462,0.815795839,0.043783989,1.00E-04,0.512096941,0.939725935,0.935056388,0.807054758,0.693236897,0.050469838,0.517679393,0.958894551,0.844465971
13,0.905729413,0.828890681,0.040110808,1.00E-04,0.508813918,0.945113897,0.941010773,0.825637281,0.708739817,0.047059566,0.524514079,0.9570871,0.869807661
14,0.912602663,0.840318382,0.036934301,1.00E-04,0.508474469,0.948528886,0.946117043,0.829142988,0.713720202,0.0440199,0.517392993,0.959798276,0.869607687
15,0.911852181,0.839156508,0.034907065,1.00E-04,0.508422136,0.947886407,0.945660889,0.832673013,0.71827358,0.041419379,0.520574987,0.955748141,0.877384543
16,0.915952623,0.845942557,0.032471191,1.00E-04,0.508566141,0.95030576,0.948198676,0.838960052,0.727820814,0.039325487,0.517124295,0.95514518,0.886740565
17,0.918861866,0.850859702,0.030321533,1.00E-04,0.509627759,0.95188427,0.950113058,0.838117003,0.726332307,0.038695674,0.507874668,0.959038734,0.876076341
18,0.898785353,0.850125043,0.031932451,1.00E-04,0.505900025,0.938832998,0.936758876,0.80704248,0.722379484,0.039447624,0.495910794,0.962558568,0.847649455
19,0.907161415,0.831460238,0.029723594,1.00E-04,0.494623303,0.945463896,0.941619337,0.839177072,0.727892458,0.035453357,0.49974528,0.963619649,0.874488592
20,0.919741452,0.852353573,0.027014028,1.00E-04,0.496799678,0.952598155,0.950584054,0.843108535,0.733482778,0.035556503,0.50178057,0.962751389,0.873893857
21,0.924737215,0.8608917,0.025315851,1.00E-04,0.498367369,0.955490172,0.954233587,0.843558729,0.73403126,0.034839012,0.502032101,0.961520195,0.87592566
22,0.924341202,0.860200942,0.024374789,1.00E-04,0.500655472,0.954939604,0.953792632,0.84157294,0.730691612,0.035782866,0.519248426,0.962184489,0.863609791
23,0.899220705,0.860154488,0.027534472,1.00E-04,0.493874669,0.93974328,0.936409414,0.831785738,0.736488183,0.033995315,0.481669933,0.956555665,0.865309298
24,0.911606252,0.868750899,0.025143184,1.00E-04,0.489552021,0.948212206,0.944301069,0.84114325,0.730600132,0.037863344,0.489394456,0.966908753,0.846675158
25,0.924452782,0.860388339,0.022781935,1.00E-04,0.494508475,0.95545125,0.95366329,0.848996043,0.741978765,0.032364514,0.503976583,0.966272771,0.875997484
26,0.928396761,0.867195249,0.021603327,1.00E-04,0.496656716,0.957562089,0.956682682,0.843031704,0.733146906,0.03204472,0.496969223,0.968052208,0.867533267
27,0.92711699,0.86498034,0.021133559,1.00E-04,0.498005748,0.956741214,0.955619752,0.851112068,0.745261133,0.030152582,0.50324136,0.964494169,0.885623932
28,0.928596377,0.86754185,0.020308124,1.00E-04,0.500705957,0.957530499,0.95674026,0.844387889,0.735079646,0.031642724,0.49824661,0.971153796,0.864630699
29,0.928708375,0.867709577,0.019689713,1.00E-04,0.504195035,0.957490444,0.956641376,0.852600694,0.747226715,0.028324738,0.499278903,0.959761441,0.88987267
