epoch,dice_coef,iou,loss,lr,mean_io_u,precision,recall,val_dice_coef,val_iou,val_loss,val_mean_io_u,val_precision,val_recall
0,0.411733836,0.271128297,0.294736087,1.00E-04,0.461928517,0.571592867,0.516941786,0.148442224,0.08192616,0.45368728,0.43602547,0,0
1,0.633217216,0.468405247,0.191626534,1.00E-04,0.461928517,0.823524773,0.719960809,0.61651504,0.480136156,0.216025576,0.43602547,0.885335982,0.743178368
2,0.705417991,0.549028277,0.169385865,1.00E-04,0.461928517,0.846512675,0.788015962,0.676928818,0.543881416,0.207045466,0.43602547,0.803245246,0.873328149
3,0.748094618,0.600719452,0.155762166,1.00E-04,0.461928517,0.861189187,0.823766053,0.691981912,0.559723973,0.203906387,0.43602547,0.803116083,0.879449248
4,0.776431084,0.637104154,0.145987406,1.00E-04,0.461928517,0.872616172,0.84620142,0.70589,0.571309507,0.202964619,0.43602547,0.793700874,0.883608699
5,0.796476901,0.663959622,0.138473481,1.00E-04,0.461928517,0.880310595,0.861173868,0.739524364,0.60862869,0.18177478,0.43602547,0.828211188,0.887250066
6,0.810496628,0.683230221,0.132442981,1.00E-04,0.461928517,0.886150658,0.871187329,0.741078019,0.605761826,0.183658496,0.43602547,0.829060495,0.868638098
7,0.821623445,0.698967159,0.127183899,1.00E-04,0.461928517,0.891700804,0.878221154,0.754749656,0.624370039,0.168842033,0.43602547,0.85524857,0.870850861
8,0.829092801,0.709656298,0.123008452,1.00E-04,0.461928517,0.894463718,0.883534372,0.773843288,0.645215869,0.162896693,0.43602547,0.857649386,0.880634248
9,0.837784469,0.722243369,0.118614517,1.00E-04,0.461928517,0.898466647,0.889740586,0.773799241,0.647241771,0.158869937,0.43602547,0.862486899,0.880867362
10,0.846675873,0.735404968,0.114141919,1.00E-04,0.461928517,0.903921604,0.895636499,0.778714478,0.649641752,0.161010459,0.43602547,0.856682837,0.874379516
11,0.853781998,0.746041,0.110312194,1.00E-04,0.461928517,0.906969965,0.900886476,0.790571868,0.6637398,0.1594363,0.43602547,0.865537465,0.871526897
12,0.860818624,0.756774724,0.106522441,1.00E-04,0.461928517,0.911335528,0.906155229,0.789643764,0.662843347,0.156705812,0.43602547,0.846327364,0.895490706
13,0.861656964,0.758053184,0.104457662,1.00E-04,0.461928517,0.91110301,0.90556109,0.795545876,0.671329737,0.152852163,0.43602547,0.853253186,0.892863274
14,0.868587613,0.768704712,0.100874454,1.00E-04,0.461928576,0.915150285,0.911482513,0.792746663,0.665177286,0.152770132,0.43602547,0.85335511,0.890295565
15,0.87186408,0.773822546,0.098326579,1.00E-04,0.461928576,0.917369187,0.913017988,0.795532048,0.669670641,0.149973616,0.43602547,0.876342475,0.86420238
16,0.874031126,0.777269661,0.096205831,1.00E-04,0.461928517,0.918562591,0.914800048,0.799446344,0.674376845,0.146566346,0.43602547,0.894168854,0.854822516
17,0.874109685,0.777346194,0.094847254,1.00E-04,0.461928725,0.918181777,0.913943589,0.78237164,0.654811203,0.145101458,0.43602547,0.875692248,0.872063935
18,0.877598763,0.782907784,0.092302181,1.00E-04,0.461928576,0.920954764,0.91714257,0.809387505,0.687829852,0.1428909,0.43602547,0.856627584,0.901842535
19,0.880927503,0.788116992,0.090209521,1.00E-04,0.461929947,0.922858357,0.918717444,0.808886886,0.687245965,0.140577018,0.43602547,0.874239087,0.882074594
20,0.884513199,0.79383564,0.087984562,1.00E-04,0.461930424,0.92493844,0.921654463,0.813968539,0.694288552,0.144260645,0.43602547,0.869564652,0.886746287
21,0.886263728,0.796656847,0.086342596,1.00E-04,0.461928606,0.925971866,0.922725558,0.803242326,0.680576384,0.143847972,0.43602547,0.86358583,0.885460615
22,0.888962984,0.80099386,0.084369421,1.00E-04,0.461930156,0.928251088,0.924372554,0.81008321,0.687701702,0.150293708,0.436026543,0.823873222,0.923613787
23,0.89343071,0.808164477,0.082017027,1.00E-04,0.46193108,0.930366099,0.927968502,0.822075844,0.704325616,0.143328369,0.43602547,0.834893465,0.92252177
24,0.898135602,0.815809906,0.079634607,1.00E-04,0.461931765,0.933580518,0.931045473,0.827180207,0.710843503,0.139201671,0.436034292,0.862411976,0.900718033
25,0.885313153,0.795455992,0.081930779,1.00E-04,0.461933821,0.925793231,0.921742976,0.8172701,0.717710156,0.136536479,0.43602547,0.902751267,0.850541711
26,0.899967313,0.818818212,0.076989129,1.00E-04,0.461929888,0.934428394,0.932817817,0.818474948,0.719564934,0.136915371,0.436037153,0.895208955,0.862164021
27,0.903676212,0.824927032,0.075099967,1.00E-04,0.4619461,0.936738849,0.934975564,0.823537827,0.715934525,0.134532303,0.436026484,0.889821053,0.873441398
28,0.904937685,0.827045262,0.07367485,1.00E-04,0.461956203,0.937580645,0.935813546,0.817487717,0.717727799,0.139500052,0.436310351,0.897318482,0.85736692
29,0.906051517,0.828880191,0.072404899,1.00E-04,0.461938083,0.938037694,0.93679738,0.809216797,0.72097436,0.140688509,0.43602547,0.909374297,0.832615435
