epoch,dice_coef,iou,loss,lr,mean_io_u,precision,recall,val_dice_coef,val_iou,val_loss,val_mean_io_u,val_precision,val_recall
0,0.584195554,0.435608268,0.550602436,1.00E-04,0.639802337,0.43174696,0.744541347,0.321102977,0.210201934,0.815450966,0.43602547,0.969971359,0.251470178
1,0.772241116,0.633921802,0.359944761,1.00E-04,0.716687262,0.805171251,0.771052659,0.702755213,0.596887946,0.428947479,0.719161153,0.868543684,0.810695946
2,0.809947968,0.68412298,0.319898278,1.00E-04,0.729598641,0.838136852,0.805606008,0.710789204,0.61083591,0.41935119,0.776695371,0.871246219,0.83606708
3,0.82917285,0.710887253,0.298389852,1.00E-04,0.730675876,0.849622965,0.82801199,0.730224788,0.62985307,0.395873994,0.752908945,0.887832642,0.819920659
4,0.850764334,0.742058992,0.274517059,1.00E-04,0.737088084,0.865767658,0.850085497,0.757559538,0.658088624,0.368038595,0.792445064,0.867927253,0.866040349
5,0.860610783,0.756911874,0.262356877,1.00E-04,0.742857456,0.871250749,0.862459898,0.771207452,0.676939011,0.351236045,0.776499271,0.878492296,0.873100281
6,0.872755527,0.775473654,0.247908801,1.00E-04,0.748941898,0.881571472,0.87407887,0.795159698,0.695538938,0.324968547,0.780855536,0.884592354,0.870214224
7,0.882358372,0.790527821,0.235930711,1.00E-04,0.756446958,0.890717387,0.882982373,0.794196725,0.693366587,0.322873235,0.817797065,0.868876815,0.886216521
8,0.881357551,0.788963199,0.234610721,1.00E-04,0.760982633,0.889756203,0.882209599,0.793420374,0.69239223,0.321646094,0.783517182,0.872425199,0.883269608
9,0.886459649,0.79726249,0.227405742,1.00E-04,0.765309155,0.893939853,0.887784123,0.79443717,0.6948511,0.318893373,0.787392437,0.87848103,0.878258228
10,0.897015154,0.814179063,0.214743063,1.00E-04,0.78195405,0.901945949,0.899624467,0.813451767,0.712533474,0.297435015,0.814856291,0.886096179,0.876807928
11,0.904279113,0.82606405,0.205315933,1.00E-04,0.793383002,0.907742679,0.906980932,0.824616134,0.724478126,0.28420949,0.7981354,0.895230532,0.869213998
12,0.908598959,0.833247006,0.198807254,1.00E-04,0.804765105,0.912135661,0.910476744,0.829235911,0.730592132,0.277606517,0.816785932,0.889549553,0.876876056
13,0.912529707,0.839809716,0.192728981,1.00E-04,0.815497041,0.915078521,0.914374113,0.842117786,0.741720617,0.261993945,0.82426703,0.888624251,0.88193804
14,0.916100442,0.845801532,0.187052906,1.00E-04,0.829342544,0.918520153,0.918090105,0.836836815,0.732825398,0.265375078,0.810367048,0.900713921,0.859029055
15,0.914266527,0.842790425,0.186870739,1.00E-04,0.82991004,0.91653806,0.916332364,0.825707912,0.719687939,0.272813797,0.823917627,0.898272574,0.858181119
16,0.909131646,0.834250033,0.190491453,1.00E-04,0.836111486,0.912166357,0.910609186,0.845279872,0.745452285,0.253607184,0.828031182,0.883325338,0.888815224
17,0.923456967,0.858335793,0.174667388,1.00E-04,0.856114149,0.924910426,0.925458729,0.854696095,0.757616401,0.242550373,0.839808822,0.884068489,0.892394781
18,0.928865731,0.867675602,0.167584419,1.00E-04,0.866348565,0.929219484,0.931258321,0.859057069,0.763165116,0.236225009,0.850073338,0.885347724,0.89106077
19,0.932499349,0.873948336,0.162172407,1.00E-04,0.874804258,0.932961464,0.934151113,0.860236764,0.762905955,0.232890636,0.842761219,0.88795048,0.88383472
20,0.928858399,0.8682338,0.16401203,1.00E-04,0.874978721,0.929560959,0.930106103,0.820168018,0.763514686,0.230269752,0.859186053,0.846004426,0.906558692
21,0.912921131,0.870882838,0.178801805,1.00E-04,0.859925449,0.915543973,0.913969815,0.860592365,0.763425648,0.230019346,0.852003574,0.89225173,0.88114202
22,0.934585154,0.877578437,0.155841783,1.00E-04,0.885674715,0.934055269,0.936986327,0.858601391,0.761397243,0.230761454,0.858527064,0.88882798,0.890017092
23,0.93877852,0.884972632,0.150206774,1.00E-04,0.894637465,0.938600421,0.940604627,0.8633008,0.768565297,0.22458671,0.858935416,0.892490327,0.887798488
24,0.94202745,0.890698731,0.145414025,1.00E-04,0.901934922,0.941862464,0.943887055,0.869299412,0.774971306,0.217387706,0.86567533,0.888016939,0.894425392
25,0.943742752,0.893753171,0.142091572,1.00E-04,0.906669676,0.943340302,0.945658624,0.872731864,0.778427064,0.212226003,0.873423338,0.878762007,0.902709305
26,0.943698585,0.893675625,0.140526906,1.00E-04,0.908216178,0.943122208,0.945868373,0.871531844,0.776995778,0.211556971,0.869023681,0.887656748,0.893563867
27,0.943249226,0.892881155,0.139424637,1.00E-04,0.90841198,0.942758679,0.944616199,0.873990715,0.78034693,0.207810536,0.878753006,0.880054176,0.906738877
28,0.943546295,0.893407345,0.13766399,1.00E-04,0.910362124,0.942968965,0.945288837,0.870788217,0.774888873,0.209693462,0.864002585,0.882584214,0.887564361
29,0.945939004,0.897667944,0.133896604,1.00E-04,0.915347219,0.945254922,0.947778761,0.872569919,0.777332425,0.206299841,0.869850218,0.890990078,0.885549307
