epoch,dice_coef,iou,loss,lr,mean_io_u,precision,recall,val_dice_coef,val_iou,val_loss,val_mean_io_u,val_precision,val_recall
0,0.763220847,0.634331346,0.236940652,1.00E-04,0.562457144,0.720257223,0.870464563,0.00419364,0.002101322,0.995800257,0.43602547,0,0
1,0.874676704,0.778952122,0.125399306,1.00E-04,0.593340814,0.876516044,0.892431855,0.224707395,0.144616038,0.772321045,0.436243504,0.931788504,0.196751505
2,0.897434473,0.81511718,0.102623254,1.00E-04,0.635982811,0.897702456,0.90727073,0.847387791,0.743750453,0.154140934,0.536263466,0.881045103,0.8805632
3,0.909653902,0.835231543,0.090403676,1.00E-04,0.679764867,0.909733057,0.916583538,0.878252804,0.786452174,0.123046637,0.585849643,0.894938827,0.887026191
4,0.91966176,0.852009177,0.080390215,1.00E-04,0.722266793,0.920120656,0.923862934,0.869532764,0.773187459,0.130987719,0.554975867,0.911551774,0.864584208
5,0.924041748,0.859461248,0.075829379,1.00E-04,0.759738445,0.925239801,0.927299142,0.86819072,0.771271977,0.130132393,0.821308374,0.787284851,0.88419342
6,0.920176327,0.853100777,0.079874061,1.00E-04,0.800306737,0.921197951,0.922349095,0.871365845,0.776194692,0.129748911,0.646797061,0.9009763,0.880299926
7,0.934992015,0.878393233,0.065052405,1.00E-04,0.837629199,0.935162067,0.937053144,0.882681549,0.79328692,0.118353225,0.790175796,0.901273131,0.887751639
8,0.941108465,0.889151335,0.058931202,1.00E-04,0.859479308,0.940639675,0.943442285,0.880061924,0.788457453,0.120776325,0.748673201,0.907088935,0.866736531
9,0.942717671,0.892005801,0.057321224,1.00E-04,0.86477536,0.942126095,0.944956899,0.879424095,0.788173318,0.120958306,0.795866847,0.90682292,0.872594118
10,0.947476089,0.900495648,0.052558515,1.00E-04,0.877902508,0.94693929,0.948890448,0.891624808,0.807350755,0.109495133,0.807805896,0.893449128,0.902401507
11,0.951537311,0.907810211,0.048492584,1.00E-04,0.891872048,0.951095104,0.952584267,0.887167156,0.800148785,0.11382515,0.800937235,0.907025635,0.883902192
12,0.95245713,0.909455419,0.047574695,1.00E-04,0.89919287,0.951566815,0.953662395,0.88523227,0.79697907,0.115936413,0.814861834,0.901101828,0.884523809
13,0.955080867,0.914236486,0.044946909,1.00E-04,0.911944926,0.953595281,0.956745744,0.883788705,0.794100285,0.11678765,0.818607688,0.917893827,0.863813162
14,0.955157995,0.914375842,0.044870913,1.00E-04,0.9051373,0.954251647,0.956346691,0.884297669,0.795085311,0.116299503,0.848717749,0.903580248,0.883156002
15,0.954007566,0.912324607,0.046022531,1.00E-04,0.904631376,0.95313108,0.955747485,0.852695644,0.796172607,0.11776741,0.780516148,0.889152765,0.832120776
16,0.957768977,0.919192195,0.042259246,1.00E-05,0.908392787,0.957570374,0.958484888,0.894092917,0.810527027,0.10666734,0.870221257,0.898344934,0.902302623
17,0.96365416,0.930022418,0.036370289,1.00E-05,0.917851746,0.962605953,0.964806557,0.894379258,0.811097264,0.106523708,0.869738936,0.898277223,0.902704835
18,0.966519117,0.935352981,0.033503279,1.00E-05,0.921004057,0.965413034,0.967468679,0.894160748,0.810777187,0.106776275,0.870213866,0.898607433,0.901790142
19,0.968758583,0.939542055,0.031262692,1.00E-05,0.923506975,0.967698991,0.969499469,0.89420259,0.810874343,0.106745422,0.870371938,0.898804903,0.901063442
20,0.970732152,0.943246782,0.029287744,1.00E-05,0.925853908,0.969851434,0.971250176,0.894287765,0.811005235,0.106676333,0.870728731,0.898200095,0.901212454
21,0.97244519,0.946479499,0.027572576,1.00E-05,0.928113699,0.971615136,0.972872257,0.894253373,0.81095773,0.106721751,0.870990515,0.897736967,0.90124923
22,0.973925531,0.9492805,0.026091022,1.00E-05,0.930163383,0.973183751,0.974244475,0.894060493,0.810616791,0.106916979,0.870526433,0.896939576,0.901594698
23,0.974726915,0.95079726,0.025289759,1.00E-06,0.931312799,0.974072874,0.975065291,0.895758152,0.813277543,0.105209701,0.877400994,0.898077667,0.902448952
24,0.975285232,0.951854944,0.024731323,1.00E-06,0.931855977,0.974625409,0.975588977,0.895514488,0.812890053,0.105461121,0.877517998,0.897941172,0.902294159
25,0.9756127,0.95247823,0.024403546,1.00E-06,0.932100117,0.974950671,0.975911319,0.895468533,0.812819183,0.105510376,0.877455711,0.897938073,0.90211159
26,0.975893319,0.953012586,0.024122301,1.00E-06,0.932351708,0.975235462,0.97618711,0.895384014,0.81268549,0.105596781,0.877429962,0.897960186,0.90194267
27,0.976149857,0.953500271,0.023865936,1.00E-06,0.932619035,0.975498974,0.976445496,0.895359516,0.812643051,0.105622247,0.877429366,0.897916734,0.901869893
28,0.976390839,0.953959882,0.023624282,1.00E-06,0.932884276,0.975746989,0.976690054,0.895346999,0.812623143,0.105636328,0.877416968,0.8978948,0.901788414
29,0.976534009,0.954231262,0.023481378,1.00E-07,0.933455646,0.975531459,0.977190852,0.895675361,0.81313163,0.105296887,0.877228737,0.898627579,0.901045978
